ID,Day of the Week,Time Block,"Busyness(Low, Medium, High)",Date,,,
1,Sunday,Morning,Low,2/8/26,,,
2,Sunday,Noon,Medium,2/14/26,,,
3,Sunday,Evening,High,2/21/26,,,
4,Monday,Morning,Medium,2/9/26,,,
5,Monday,Noon,Low,2/15/26,,,
6,Monday,Evening,High,2/22/26,,,
7,Tuesday,Morning,Medium,2/10/26,,,
8,Tuesday,Noon,Medium,2/16/26,,,
9,Tuesday,Evening,High,2/23/26,,,
10,Wednesday,Morning,Medium,2/11/26,,,
11,Wednesday,Noon,Low,2/17/26,,,
12,Wednesday,Evening,High,2/24/26,,,
13,Thursday,Morning,Medium,2/12/26,,,
14,Thursday,Noon,Medium,2/18/26,,,
15,Thursday,Evening,High,2/25/26,,,
16,Friday,Morning,Medium,2/13/26,,,
17,Friday,Noon,Medium,2/19/26,,,
18,Friday,Evening,High,2/26/26,,,
19,Saturday,Morning,Medium,2/14/26,,,
20,Saturday,Noon,Low,2/20/26,,,
21,Saturday,Evening,High,2/27/26,,,
